gene	candidate_category	validation_priority	mean_MM_sample_log_norm	mean_control_sample_log_norm	MM_minus_control_sample_log_norm	cohen_d_sample_level	mannwhitney_p_sample_level	MM_samples_above_control_median	mean_MM_pct_detected	mean_control_pct_detected	best_spatial_region_signature	best_region_high_minus_low_mean_log	region_positive_samples	region_samples_tested	candidate_score
SQSTM1	region_linked_plasma_secretory	high	0.5468814154864495	0.1764115463593098	0.37046986912713975	1.7049076905018081	0.047619047619047616	6	0.23787996810093573	0.07385650589645974	plasma_secretory	0.45559734308071076	9	9	0.8088824357893849
CTSZ	region_linked_plasma_secretory	high	0.4986950571151134	0.10919290675425229	0.3895021503608611	2.312503481555268	0.023809523809523808	6	0.2216046819682652	0.04318676585292025	plasma_secretory	0.47438239362764967	8	9	0.797604323294671
PPIB	region_linked_plasma_secretory	high	0.5007461910323503	0.11818210475268624	0.38256408627966404	2.1080914870126173	0.023809523809523808	6	0.22079906546711633	0.04759349158119804	plasma_secretory	0.38887436127300107	9	9	0.7970001764664865
CCNL2	region_linked_plasma_secretory	high	0.6686006388642519	0.28582333663698506	0.38277730222726686	1.4758663283642273	0.09523809523809523	5	0.2740786902796275	0.11969677567065201	plasma_secretory	0.6613701113939932	9	9	0.7949184615505083
FNDC3B	region_linked_plasma_secretory	high	0.5009962061415667	0.1477952074450283	0.3532009986965384	2.3276078272588263	0.023809523809523808	6	0.22263885668019115	0.058983224484569045	plasma_secretory	0.4958563928722681	9	9	0.7925069578036299
CXCR4	region_linked_plasma_secretory	high	0.5197987918781993	0.17513550565294156	0.34466328622525777	0.9295659687507057	0.09523809523809523	6	0.21385428171211554	0.07258136493634004	plasma_secretory	0.5306680167985398	9	9	0.7913476031845241
PTK2B	region_linked_plasma_secretory	high	0.5780639967821609	0.16956013720067975	0.40850385958148117	1.2763710986214323	0.16666666666666666	5	0.24203702387101889	0.07102255749969921	plasma_secretory	0.5493975242536877	9	9	0.7911685858545289
CCNI	region_linked_plasma_secretory	high	0.4846059322631551	0.10967926611080468	0.37492666615235043	1.9970835077872937	0.047619047619047616	6	0.21730324063831274	0.04676383504658571	plasma_secretory	0.39837141053035974	9	9	0.7864300964893614
PRDM1	canonical_plasma_support	supporting_marker	0.3892259299576935	0.08048121924538366	0.30874471071230986	1.4743304052163353	0.023809523809523808	6	0.17845551698712894	0.032971668277085114	plasma_secretory	0.6977137270813413	9	9	0.7862402003100691
SEL1L3	region_linked_plasma_secretory	high	0.5060876305719845	0.09959190248376447	0.40649572808822	1.002656111498009	0.26190476190476186	5	0.20572057873388963	0.04391630480758408	plasma_secretory	0.5453987428506194	9	9	0.7852474839521029
ZNF550	region_linked_erythroid_megak	high	0.6421158652074267	0.11657783827175765	0.5255380269356691	1.2167063825657434	0.16666666666666666	5	0.23960343846795984	0.04829974737773431	erythroid_megak	0.19373369391053927	9	9	0.784190562730466
BST2	region_linked_plasma_secretory	high	0.40317445416623876	0.04887564648689551	0.35429880767934324	4.3285538552812115	0.023809523809523808	6	0.19066261353660086	0.0215369212680008	plasma_secretory	0.4704257770979445	9	9	0.7814551494101601
CRELD2	region_linked_plasma_secretory	high	0.4564324255614312	0.09594153435853746	0.36049089120289374	1.51853746090902	0.023809523809523808	6	0.19615785364632535	0.04060932024819845	plasma_secretory	0.4406971832917455	9	9	0.77903731733751
CLINT1	region_linked_plasma_secretory	high	0.4701323019461152	0.12318013670731183	0.3469521652388034	1.1549632301682238	0.047619047619047616	6	0.20929767399480967	0.05486094133808305	plasma_secretory	0.4962187563612074	9	9	0.7786745057856457
ST6GAL1	region_linked_plasma_secretory	high	0.4318268209890192	0.06782860889291081	0.3639982120961084	1.5755909377280508	0.023809523809523808	6	0.18925256989117722	0.03144002452492655	plasma_secretory	0.5348691795583344	8	9	0.7759578293897978
MCL1	region_linked_plasma_secretory	high	0.6516287390983646	0.34616531889787466	0.30546342020048994	1.7531482859639156	0.09523809523809523	6	0.2721545166235466	0.1318897775294244	plasma_secretory	0.6364410861437158	9	9	0.749809336695096
SEC14L1	region_linked_plasma_secretory	high	0.4120063016384928	0.06749876307591565	0.3445075385625771	1.8067955779517082	0.023809523809523808	6	0.19128360968612348	0.027119446481720783	plasma_secretory	0.43284666498076335	9	9	0.7404397165351806
