gene	variance	detected_spots
SLC3A2	0.38083160156044504	815
ATP5MF	0.380711992630166	854
EDNRB	0.38055186377294126	670
UTRN	0.3802780919902473	930
COX7A2L	0.37939973304602553	917
MFF	0.3793276207675406	874
TRIM38	0.37931674560826356	933
PTPN6	0.3790531798022925	937
RGCC	0.37905076323571224	974
USF1	0.3786520608329358	895
RBM5	0.3784334654509366	986
CLIP1	0.3782076867975651	860
ZFC3H1	0.378026828300815	969
STK17B	0.37799538910276415	895
CALR	0.377969861847831	779
SAFB2	0.3779524796740696	935
FCRLB	0.3776025384279775	591
TMEM183A	0.37756377637912564	898
BSDC1	0.3774139852439204	1001
OSTF1	0.3773341022579775	827
RANBP9	0.37722710820256344	941
MAGED2	0.3772082495740454	850
VAMP8	0.3771808423109079	893
ELAVL1	0.3770152199841412	926
VHL	0.37683595684920246	996
SMC4	0.37651234365807523	978
NSD2	0.3764735938936765	709
KAT2B	0.3764516495632475	931
AGTPBP1	0.3763965817820294	931
MARCH8	0.3763676327664511	902
LRPPRC	0.376268569731146	931
LINC02693	0.3758722817045155	818
DEFA4	0.3757826062688633	721
LMNA	0.37557673282346643	818
PRMT2	0.3752545330053897	842
COX17	0.3748924109608435	871
AHSA1	0.3746229567451419	893
CKAP4	0.37458534403844035	822
HMBS	0.3742478567530965	869
GDI1	0.3738757623733029	845
SP140	0.37347519519327044	858
ARFGAP3	0.37271459055601175	870
AKT1	0.3726253248245347	916
USP17L2	0.37237468169208776	794
NDUFB7	0.3723035440419224	883
P2RY10	0.3720675373237558	741
WDR33	0.3720419545347727	937
ADD1	0.37193941508059686	902
HNRNPU	0.3718788450873505	902
ITM2B	0.37184263390518385	800
USP15	0.37183304050372173	939
ADIPOR1	0.37166874219589396	851
STAG2	0.37133852389670496	865
CELF1	0.37129295915274174	980
UBE2I	0.37088192227961136	922
TMEM64	0.37072636928479163	766
FLII	0.3701429260478438	899
CBX7	0.3698923991979737	829
POLR1D	0.36986364034155345	968
CSK	0.3697022165362185	921
TMEM248	0.36942592576265765	865
TRAPPC3	0.36938865466442816	906
LCOR	0.36938304518669546	930
PSMB9	0.36937007557401585	790
RHOBTB3	0.3693642436605732	899
EMP1	0.36934439576519074	798
CD36	0.36892799008481947	849
RNF149	0.3687550043521767	819
PPP3CB	0.3682525977410617	937
SEC13	0.3680137574799122	893
