gene	variance	detected_spots
NUMA1	0.445500840190124	1077
TUFM	0.44537916993098375	1055
SF3B5	0.44531107315024443	996
ATP2A3	0.4450849364558301	1005
API5	0.4450778939764702	1068
NPC2	0.4445314921258823	945
EGR1	0.4438251961764925	713
PBX2	0.44379630918395996	1082
PLEKHB2	0.44377382601033744	987
CPEB4	0.4434934932713406	1048
ATP5MC2	0.44344734295111105	1021
HSPA8	0.442793587228468	1008
USP48	0.44251083381573203	1039
USF2	0.4423480992098822	1032
GLUL	0.4409168666562605	1015
RTN3	0.4402877835903318	1006
TMEM68	0.4400731046903916	921
NDUFV2	0.4396111140730183	1060
ARHGAP45	0.43960272216332047	1008
SERINC1	0.43955653356060537	913
EPC1	0.4393411246077058	1085
JTB	0.4391127073484879	919
ACADVL	0.43902381263392154	1070
FUBP1	0.43860359591235554	1032
NDUFC2	0.43852291360900336	1079
ATN1	0.43790204739609717	1028
AKIRIN2	0.4371962228261297	1045
APLP2	0.4365968847257272	1039
PAFAH1B1	0.4361050098788489	1034
ARRDC3	0.43565197461415106	990
FOXO3	0.435266413112685	1046
RABAC1	0.4351708440580219	1005
VKORC1	0.43460428781583854	966
SMIM7	0.434525564123317	1036
EIF5	0.4342433684642618	988
RHOA	0.43396370577424603	967
RNF187	0.433757964254739	1003
GSTK1	0.4334278141879185	1040
GPATCH2L	0.43341913098510215	1045
LTBP3	0.4329649737958093	1025
DDT	0.4325142598285311	1020
CDC42SE1	0.43249905741145467	972
RAB3GAP1	0.4317888172488135	1001
NRDC	0.4315886438389889	968
KMT5A	0.4313418464094416	1035
CDC42SE2	0.43109612033853023	965
UBE2E3	0.43105597358169856	1006
TRA2A	0.4306726770537335	1025
SPCS3	0.4305071189878675	836
SPTB	0.4300537496997226	869
INTS11	0.4300273687709642	1025
ILF3	0.429576280213293	1045
PSMB1	0.4290739113365898	1024
NDUFB11	0.4286755820592197	1025
HNRNPD	0.4281850997289918	991
NFE2L1	0.42806949778069586	894
VPS13B	0.42768938037895715	1072
RAC1	0.42763830635132316	1036
CD99	0.4273887599263078	992
DAZAP2	0.4270513568555872	1034
HIST1H1D	0.4269721451231262	1022
MPRIP	0.4269253888613993	1032
COL6A1	0.4268401842859915	833
SEPTIN9	0.42676970889836746	1050
SPTA1	0.42658500882234784	906
KMT2E	0.42645911077255494	954
HIST1H1E	0.4263895773160542	987
IGFBP4	0.4262348661430766	795
ANXA6	0.4262082907617761	836
MYDGF	0.4261078407783169	895
LTB	0.42557999408650427	740
FAM120A	0.4255257268037315	1023
CALD1	0.4249044027647044	831
SAFB	0.42454210826611716	1036
AURKAIP1	0.4245072729382798	963
TAF7	0.42446456287387585	1012
GTPBP1	0.42422509954922416	1057
RBM14	0.4241333876422889	1096
APOL6	0.42403982485744685	961
KLHL6	0.4238419890324947	1085
RRBP1	0.4237109492482059	943
EIF3B	0.4235512334286037	1025
MRFAP1L1	0.42331036621306306	1004
GPBP1	0.42330627725652087	990
RER1	0.42269033665153855	985
SETD5	0.4225496087863923	1087
ISCU	0.42229255163772084	833
SSR3	0.42221116698619576	872
UCP2	0.4220812977228115	1006
EEF1G	0.42181548456180473	920
EHMT1	0.4215846416300673	1069
PA2G4	0.421095138963961	986
ZNF644	0.4207287295889245	1025
COL6A2	0.42047494005843766	763
RAB14	0.42041948143607977	1051
CTHRC1	0.41981604804482425	880
DPYD	0.4198102609920696	1027
DENND10	0.4196377727567121	1031
TNXB	0.4195985085768585	922
IGFBP7	0.41934916684894175	759
LAP3	0.41924879445929386	910
GRINA	0.4192174051898692	1024
SELENOH	0.41904806830067337	1021
BTAF1	0.4190288959885933	1011
RNF7	0.41874708878898964	963
SFMBT2	0.4187023183834913	1041
LUC7L	0.4186904440032206	1046
VPS37B	0.4179337164576214	927
HNRNPF	0.417911845372999	992
NDUFB5	0.4175999364199436	1013
ATG16L2	0.4172208589933344	1058
SH3GLB2	0.41711284690902367	1015
CADPS2	0.41683124981185443	891
ST6GALNAC4	0.4162758793271572	1012
ZEB2	0.41615854912569444	965
PTAR1	0.4161369701952057	1012
GRN	0.41581242686757797	973
ANKH	0.4155553724275485	861
CLTA	0.4147915298221888	985
UBXN4	0.41428777235420033	962
FKBP8	0.4140453803558255	910
POLR2A	0.41392105940889257	1020
RBM6	0.41296777778193317	1031
SLC44A1	0.41280791257232974	923
SRM	0.4125217592592837	953
HELLS	0.4124677378865927	970
