comparison	label	rank	gene	mean_in_log_norm	mean_out_log_norm	log_norm_difference	pct_in	pct_out	score
group	control	14	USP17L1	0.20265545890651926	0.06045727933445724	0.14219817957206202	0.08399903171144964	0.03365650969529087	0.0071586149857642304
group	control	15	TAF11L13	0.16056869438323848	0.03629123840236416	0.12427745598087432	0.0668119099491649	0.018975069252077568	0.005945040863996369
group	control	16	USP17L2	0.2318074537440803	0.10783002209160315	0.12397743165247714	0.09924957637375863	0.053185595567867054	0.005710894032003442
group	control	17	MT-CO2	1.65136435502249	1.4731370469406424	0.1782273080818475	0.46744129750667207	0.43711911357342614	0.005404241217585069
group	control	18	CEBPD	0.3679960498330023	0.2112722522320538	0.15672379760094854	0.13701282982328566	0.10318559556786504	0.005301532614846415
group	control	19	FAM90A26	0.18399714915445187	0.06537149063851218	0.11862565851593969	0.07625272331154666	0.03185595567867037	0.0052665957964291065
group	control	20	MPO	0.412989937873349	0.28270697368726966	0.13028296418607932	0.14548535463567955	0.10595567867035798	0.005150043358077311
group	control	21	TERF1	0.18559442980678428	0.08453562055964553	0.10105880924713875	0.07988380537400118	0.046260387811634364	0.003397942541672123
group	control	22	TFRC	0.38290782935754447	0.27483092039117113	0.10807690896637334	0.14572742677317652	0.11551246537395861	0.003265539632565758
group	control	23	ELOA3	0.277517614650589	0.17503329514989274	0.10248431950069625	0.11425804889857065	0.084764542936287	0.0030226218882343668
group	control	24	TUBB2A	0.14217982396537196	0.044174807536317987	0.09800501642905397	0.05398208666182535	0.025069252077562335	0.002833602828441217
group	control	25	G0S2	0.21865544057461545	0.11536997078397836	0.10328546979063709	0.08399903171144964	0.0566481994459834	0.0028249435597035954
group	control	26	AHSP	0.31824317167883054	0.22080060756449935	0.09744256411433119	0.12079399661098879	0.091828254847644	0.002822496148893886
group	control	27	JUN	0.3100808199913536	0.20357262475301013	0.10650819523834348	0.11861534737351608	0.09252077562326723	0.0027792857426364665
group	control	28	FLG	0.20037977283696046	0.10523230332712445	0.095147469509836	0.08206245461147389	0.05290858725761775	0.002773916705144831
group	control	29	TBC1D3B	0.14986465994184545	0.06441256752752689	0.08545209241431856	0.06463326071169219	0.0329639889196676	0.0027062055398662573
group	control	30	POTEM	0.18402026768014465	0.09389710913659909	0.09012315854354556	0.07794722827402543	0.04861495844875348	0.002643516803905042
