analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
ordinal_spearman	Serum_Albumin	TXNDC5_z	755			0.03304663224332513	spearman_rho	0.03304663224332513	0.3645262260663037	0.4928805310192275
ordinal_spearman	Serum_Albumin	POU2AF1_z	755			-0.007909674517095138	spearman_rho	-0.007909674517095138	0.828224320121382	0.8898992308524146
ordinal_spearman	Serum_Albumin	XBP1_z	755			-0.008570695342720208	spearman_rho	-0.008570695342720208	0.8141207384334957	0.8881317146547226
ordinal_spearman	Serum_Albumin	JCHAIN_z	755			0.04993934481801083	spearman_rho	0.04993934481801083	0.17044407027311137	0.2682398482986671
ordinal_spearman	Serum_B2M	plasma_secretory_score_z	738			0.14436689253997617	spearman_rho	0.14436689253997617	8.289183258561566e-05	0.0003978807964109552
ordinal_spearman	Serum_B2M	clinical_subtype_module_score_z	738			0.11608233094871784	spearman_rho	0.11608233094871784	0.001583930113585592	0.005631751514970994
ordinal_spearman	Serum_B2M	TXNDC5_z	738			0.031965880195997456	spearman_rho	0.031965880195997456	0.38586548317297653	0.5125934308832866
ordinal_spearman	Serum_B2M	POU2AF1_z	738			0.08865472348398426	spearman_rho	0.08865472348398426	0.015993204468772854	0.04206431860279984
ordinal_spearman	Serum_B2M	XBP1_z	738			0.12158408183052583	spearman_rho	0.12158408183052583	0.0009340962907550307	0.0035165978004895273
ordinal_spearman	Serum_B2M	JCHAIN_z	738			0.023880085780858453	spearman_rho	0.023880085780858453	0.5171642322579688	0.6447761856722728
ordinal_spearman	Serum_LDH	plasma_secretory_score_z	633			0.0014350548669316262	spearman_rho	0.0014350548669316262	0.9712553232914789	0.9712553232914789
ordinal_spearman	Serum_LDH	clinical_subtype_module_score_z	633			-0.008303030353522733	spearman_rho	-0.008303030353522733	0.8348458291221996	0.8898992308524146
ordinal_spearman	Serum_LDH	TXNDC5_z	633			-0.010750988590561039	spearman_rho	-0.010750988590561039	0.787189043662025	0.8636588364749074
