file_id	file_name	data_category	data_type	data_format	experimental_strategy	access	case_projects
938c3482-0829-4f2d-86f6-0b05728724ef	58ddd58e-c31f-4d62-a438-6bc867bfb065.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
308b5856-b2ad-45fd-97fb-abe2cf9ed6db	c2c2a46b-ba80-4379-ae22-1ca2559473a1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
bc0c29d0-cef6-4e2f-a9fc-0a58e0873605	0974daa9-23b1-4895-86ae-c934773d8f48_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
92d6ab41-764c-44bf-9a56-9739b6596341	dd35cca8-715c-4d48-bfe8-00b9166712d4_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
f6bd59f4-59c2-4daa-9ab5-f2fb020b509d	548fc9db-7bfb-4bb4-8b61-d1a0d40f13e9.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
eee55ada-cf85-445d-9eb5-0330d108f188	573339a6-d894-496f-aee2-6f71ab072bd9.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
402dc6cd-80c9-40fe-a25d-8480c3505583	a4d3c02a-b498-4c20-8bbf-94209226b76f.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
43d2c5d8-c8e5-4139-834a-48ebc9874faa	9bfa285a-a015-42de-83c4-72c088a19951_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
9901c419-14ef-45be-a5c3-375cade69b4d	a0c0c175-454c-4814-a86b-6a1e457e1457.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
1f600847-0721-4625-b054-53936cbf2d03	69adfb8e-3b6b-48d5-a83d-e39e1ab12441.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
